Common misspelling,Correct spelling
accomodate,accommodate
accomodation,accommodation
acheive,achieve
accross,across
agressive,aggressive
agression,aggression
apparantly,apparently
appearence,appearance
arguement,argument
assasination,assassination
basicly,basically
begining,beginning
belive,believe
beleive,believe
bizzare,bizarre
buisness,business
calender,calendar
Carribean,Caribbean
cemetary,cemetery
chauffer,chauffeur
collegue,colleague
comming,coming
commitee,committee
completly,completely
concious,conscious
curiousity,curiosity
definately,definitely
dilemna,dilemma
dissapear,disappear
dissapoint,disappoint
ecstacy,ecstasy
embarass,embarrass
enviroment,environment
existance,existence
Farenheit,Fahrenheit
familar,familiar
finaly,finally
florescent,fluorescent
foriegn,foreign
forseeable,foreseeable
fourty,forty
foward,forward
freind,friend
futher,further
jist,gist
glamourous,glamorous
goverment,government
gaurd,guard
happend,happened
harrass,harass
harrassment,harassment
honourary,honorary
humourous,humorous
idiosyncracy,idiosyncrasy
immediatly,immediately
incidently,incidentally
independant,independent
interupt,interrupt
irresistable,irresistible
knowlege,knowledge
liase,liaise
liason,liaison
lollypop,lollipop
millenium,millennium
millenia,millennia
Neandertal,Neanderthal
neccessary,necessary
noticable,noticeable
ocassion,occasion
occassion,occasion
occured,occurred
occuring,occurring
occurance,occurrence
occurence,occurrence
pavillion,pavilion
persistant,persistent
pharoah,pharaoh
peice,piece
politican,politician
Portugese,Portuguese
posession,possession
prefered,preferred
prefering,preferring
propoganda,propaganda
publically,publicly
realy,really
recieve,receive
refered,referred
refering,referring
religous,religious
rember,remember
remeber,remember
resistence,resistance
sence,sense
seperate,separate
seige,siege
succesful,successful
supercede,supersede
suprise,surprise
tatoo,tattoo
tendancy,tendency
therefor,therefore
threshhold,threshold
tommorow,tomorrow
tommorrow,tomorrow
tounge,tongue
truely,truly
unforseen,unforeseen
unfortunatly,unfortunately
untill,until
wierd,weird
whereever,wherever
wich,which
